P01	My expenses this month are: Food ₹8,200, Transport ₹3,500, Rent ₹12,000, Utilities ₹2,800, Entertainment ₹1,500, Shopping ₹4,200. My monthly salary is ₹55,000. What percentage of my income did I spend in each category? What is my total spend and savings this month?
P02	Here is my food spend over 3 months: January ₹6,800, February ₹7,200, March ₹9,400. My monthly salary is ₹60,000. How much has my food spend increased? What percentage of my income is food spend in March vs January? Is this a concerning trend?
P03	I have three EMIs: Home loan ₹18,500/month, Personal loan ₹6,200/month, Car loan ₹4,800/month. My take-home salary is ₹72,000. What is my total EMI burden as a percentage of income? Is this financially healthy? What is the recommended maximum EMI-to-income ratio?
P04	My monthly salary is ₹45,000. My fixed monthly obligations are: Home loan EMI ₹14,000, Personal loan EMI ₹5,500, LIC premium ₹2,200, SIP ₹3,000. After these, I have ₹20,300 left for all living expenses including food, transport, and utilities. Is my financial position sustainable? What should I consider changing?
P05	My HDFC credit card outstanding is ₹38,000. Due date is 5 days from now. I have ₹15,000 available in savings. The card charges 3.5% monthly interest on the unpaid balance. If I pay ₹15,000 now, how much interest will I pay next month on the remaining ₹23,000? What is the best strategy to clear this debt in 3 months?
P06	I have two credit cards. Card A: SBI with ₹22,000 outstanding at 3.2% monthly interest. Card B: ICICI with ₹9,500 outstanding at 3.8% monthly interest. I can pay ₹12,000 extra this month toward credit card debt. Which card should I prioritize and why? How much total interest will I save?
P07	I invest ₹5,000 per month in an equity SIP. Assume 12% annual returns. How much corpus will I have after 5 years, 10 years, and 15 years? How much of that will be my actual investment vs returns? Answer in rupees.
P08	I want to save ₹25 lakhs for my child's education in 12 years. I can invest monthly in an equity mutual fund SIP. Assuming 12% annual return, how much do I need to invest per month to reach this goal? If I can only invest ₹6,000/month, what corpus will I have in 12 years?
P09	I pay ₹18,500 per year as LIC premium for a traditional endowment policy. The policy matures in 15 years with a sum assured of ₹5 lakhs. My total premium payment over 15 years will be ₹2,77,500. Is this a good investment? What is the approximate annual return? How does this compare to a term insurance + SIP strategy?
P10	I have two LIC policies. Policy 1: premium ₹12,000/year, sum assured ₹3 lakhs, 10 years remaining. Policy 2: premium ₹8,500/year, sum assured ₹2 lakhs, 5 years remaining. I am considering surrendering one to free up cash. What should I consider before surrendering an LIC policy? Which type of policy is typically worth keeping vs surrendering?
P11	My monthly budget is ₹50,000. This month my actual spend is: Food ₹9,800 (budget ₹7,000), Transport ₹4,200 (budget ₹3,000), Rent ₹15,000 (budget ₹15,000), Entertainment ₹3,500 (budget ₹2,000), Shopping ₹6,800 (budget ₹4,000), Utilities ₹2,900 (budget ₹2,500). Which categories am I over budget in? By how much total? What are practical ways to reduce the biggest overruns next month?
P12	My average food spend over the last 3 months was ₹7,500. This month it jumped to ₹11,200 — an increase of ₹3,700. My salary is ₹65,000. I haven't changed my household size. What are the most likely reasons for this spike? What specific things should I review in my transactions to identify the cause? How significant is this increase relative to my income?
P13	Today is the 18th of the month. My monthly salary is ₹60,000. So far this month I have spent ₹38,500. My fixed remaining commitments this month are: SIP ₹3,000 auto-debit on 25th, credit card payment ₹8,000 due on 28th. How much can I safely spend for the rest of the month without dipping into savings?
P14	My monthly take-home is ₹58,000. I want to maintain a minimum ₹10,000 emergency buffer in my account at all times. It is the 22nd of the month. I have spent ₹41,000. My only remaining fixed payment is a ₹5,500 EMI on the 29th. How much can I spend between now and month-end while protecting my ₹10,000 buffer? What percentage of my income am I saving this month?
P15	I have three debts: Personal loan ₹1.2 lakhs at 16% annual interest, remaining 18 months. Credit card ₹35,000 at 42% annual interest. Gold loan ₹80,000 at 11% annual interest, remaining 24 months. I have ₹15,000 extra per month to put toward debt repayment. Using the avalanche method, which debt should I attack first and why? How long will it take to clear all debts?
P16	I received a Diwali bonus of ₹80,000. I have a home loan outstanding of ₹32 lakhs at 8.75% interest with 18 years remaining, and a personal loan outstanding of ₹1.5 lakhs at 15% interest with 2 years remaining. Should I use the bonus to prepay the home loan, fully close the personal loan, or invest in mutual funds? Justify your recommendation.
P17	My transport spend this month is ₹6,800 vs my 3-month average of ₹3,200. That is more than double. My salary is ₹55,000. I commute by metro daily and occasionally take cabs. What categories of reasons could explain this spike? What specific transaction patterns should I look for to diagnose whether this is a one-time event or a new baseline? Should I be concerned?
P18	It is October. My shopping spend this month is ₹14,500 vs my usual ₹3,000-4,000 per month. Is this unusual? What factors specific to October in India might explain higher shopping spend? Should I adjust my budget for this month or treat it as an exception?
P19	My salary of ₹55,000 credits on the 1st. Today is the 24th. My account balance is ₹4,200. Remaining fixed payments this month: SIP ₹3,000 on 27th, electricity bill ₹1,800 due by 30th. I also need to buy groceries for the week (estimated ₹1,500). I have a credit card with ₹20,000 available limit. What is my exact cash position? What should I do to get through month-end without missing payments?
P20	For the last 4 months I have been running out of money 5-7 days before salary. My monthly salary is ₹52,000. My fixed monthly outflows are: rent ₹14,000, home loan EMI ₹9,500, LIC ₹1,500, SIP ₹2,000. That leaves ₹25,000 for variable expenses. But I keep running short. What are the most common structural reasons people with this income profile run out of money before month-end? What specific tracking habits should I build to fix this?
